Fri May 26 12:00:51 2023 
Setup time: 0.00 seconds
--------------------- 
Step 	 Time 	 Stopwatch 	 Average Temperature 	 Nusselt Number 	 Vrms 	 Surface Heat Flux 	 Bottom Heat Flux 	 Other Walls Heat Flux 
1 	 0.00 	 0.72 	  0.49967 	 1.00118 	 29599.58068 	 3.00354 	 3.01335 	 35.59824 	 
2 	 0.00 	 0.73 	  0.49967 	 1.00696 	 29833.08316 	 3.02087 	 3.03068 	 35.61988 	 
3 	 0.00 	 0.67 	  0.49967 	 1.01292 	 30296.00921 	 3.03877 	 3.04856 	 35.64350 	 
4 	 0.00 	 0.72 	  0.49967 	 1.01898 	 30755.06985 	 3.05693 	 3.06671 	 35.66752 	 
5 	 0.00 	 0.68 	  0.49967 	 1.02512 	 31212.61473 	 3.07536 	 3.08512 	 35.69217 	 
6 	 0.00 	 0.70 	  0.49967 	 1.03135 	 31668.59971 	 3.09405 	 3.10380 	 35.71736 	 
7 	 0.00 	 0.71 	  0.49967 	 1.03767 	 32122.99913 	 3.11302 	 3.12275 	 35.74310 	 
8 	 0.00 	 0.71 	  0.49967 	 1.04409 	 32575.78755 	 3.13226 	 3.14198 	 35.76935 	 
9 	 0.00 	 0.72 	  0.49967 	 1.05059 	 33026.93982 	 3.15177 	 3.16147 	 35.79611 	 
10 	 0.00 	 0.72 	  0.49967 	 1.05719 	 33476.43108 	 3.17157 	 3.18125 	 35.82336 	 
11 	 0.00 	 0.82 	  0.49967 	 1.06388 	 33924.23673 	 3.19164 	 3.20130 	 35.85108 	 
12 	 0.00 	 0.74 	  0.49967 	 1.07066 	 34370.33244 	 3.21199 	 3.22164 	 35.87924 	 
13 	 0.00 	 0.69 	  0.49967 	 1.07754 	 34814.69419 	 3.23263 	 3.24226 	 35.90784 	 
14 	 0.00 	 0.74 	  0.49967 	 1.08452 	 35257.29820 	 3.25356 	 3.26316 	 35.93684 	 
15 	 0.00 	 0.70 	  0.49967 	 1.09159 	 35698.12099 	 3.27478 	 3.28436 	 35.96623 	 
16 	 0.00 	 0.71 	  0.49967 	 1.09876 	 36137.13934 	 3.29629 	 3.30584 	 35.99598 	 
17 	 0.00 	 0.70 	  0.49967 	 1.10603 	 36574.33030 	 3.31809 	 3.32762 	 36.02606 	 
18 	 0.00 	 0.72 	  0.49967 	 1.11340 	 37009.67122 	 3.34020 	 3.34970 	 36.05643 	 
19 	 0.00 	 0.71 	  0.49967 	 1.12087 	 37443.13970 	 3.36260 	 3.37208 	 36.08704 	 
20 	 0.00 	 0.73 	  0.49967 	 1.12844 	 37874.71361 	 3.38531 	 3.39475 	 36.11784 	 
21 	 0.00 	 0.83 	  0.49967 	 1.13611 	 38304.37112 	 3.40832 	 3.41773 	 36.14877 	 
22 	 0.00 	 0.71 	  0.49967 	 1.14388 	 38732.09064 	 3.43164 	 3.44102 	 36.17976 	 
23 	 0.00 	 0.74 	  0.49967 	 1.15176 	 39157.85089 	 3.45527 	 3.46462 	 36.21075 	 
24 	 0.00 	 0.71 	  0.49967 	 1.15974 	 39581.63083 	 3.47922 	 3.48854 	 36.24171 	 
25 	 0.00 	 0.75 	  0.49967 	 1.16783 	 40003.40972 	 3.50349 	 3.51276 	 36.27266 	 
26 	 0.00 	 0.70 	  0.49967 	 1.17602 	 40423.16711 	 3.52807 	 3.53731 	 36.30368 	 
27 	 0.00 	 0.75 	  0.49967 	 1.18432 	 40840.88280 	 3.55297 	 3.56218 	 36.33483 	 
28 	 0.00 	 0.67 	  0.49967 	 1.19274 	 41256.53691 	 3.57821 	 3.58737 	 36.36625 	 
29 	 0.00 	 0.72 	  0.49967 	 1.20126 	 41670.10981 	 3.60377 	 3.61289 	 36.39807 	 
30 	 0.00 	 0.72 	  0.49967 	 1.20989 	 42081.58216 	 3.62966 	 3.63874 	 36.43035 	 
31 	 0.00 	 0.82 	  0.49967 	 1.21863 	 42490.93490 	 3.65589 	 3.66492 	 36.46312 	 
32 	 0.00 	 0.70 	  0.49967 	 1.22749 	 42898.14925 	 3.68246 	 3.69144 	 36.49639 	 
33 	 0.00 	 0.74 	  0.49967 	 1.23646 	 43303.20376 	 3.70937 	 3.71830 	 36.53016 	 
34 	 0.00 	 0.71 	  0.49967 	 1.24554 	 43706.07970 	 3.73662 	 3.74550 	 36.56442 	 
35 	 0.00 	 0.75 	  0.49967 	 1.25474 	 44106.75912 	 3.76422 	 3.77305 	 36.59916 	 
36 	 0.00 	 0.69 	  0.49967 	 1.26406 	 44505.22437 	 3.79217 	 3.80095 	 36.63436 	 
37 	 0.00 	 0.72 	  0.49967 	 1.27349 	 44901.45806 	 3.82048 	 3.82920 	 36.67001 	 
38 	 0.00 	 0.68 	  0.49967 	 1.28305 	 45295.44311 	 3.84914 	 3.85780 	 36.70610 	 
39 	 0.00 	 0.70 	  0.49967 	 1.29272 	 45687.16271 	 3.87816 	 3.88677 	 36.74262 	 
40 	 0.00 	 0.67 	  0.49967 	 1.30252 	 46076.60031 	 3.90755 	 3.91609 	 36.77956 	 
41 	 0.00 	 0.81 	  0.49967 	 1.31244 	 46463.73968 	 3.93731 	 3.94579 	 36.81691 	 
42 	 0.00 	 0.69 	  0.49967 	 1.32248 	 46848.56488 	 3.96744 	 3.97585 	 36.85468 	 
43 	 0.00 	 0.74 	  0.49967 	 1.33265 	 47231.06017 	 3.99794 	 4.00628 	 36.89283 	 
44 	 0.00 	 0.65 	  0.49967 	 1.34294 	 47611.21016 	 4.02882 	 4.03709 	 36.93138 	 
45 	 0.00 	 0.65 	  0.49967 	 1.35336 	 47988.99975 	 4.06008 	 4.06828 	 36.97032 	 
46 	 0.00 	 0.68 	  0.49967 	 1.36391 	 48364.41409 	 4.09173 	 4.09985 	 37.00964 	 
47 	 0.00 	 0.68 	  0.49967 	 1.37459 	 48737.43864 	 4.12377 	 4.13181 	 37.04933 	 
48 	 0.00 	 0.68 	  0.49967 	 1.38540 	 49108.05913 	 4.15620 	 4.16416 	 37.08939 	 
49 	 0.00 	 0.64 	  0.49967 	 1.39634 	 49476.26157 	 4.18903 	 4.19691 	 37.12982 	 
50 	 0.00 	 0.70 	  0.49967 	 1.40742 	 49842.03225 	 4.22226 	 4.23006 	 37.17060 	 
51 	 0.00 	 0.81 	  0.49967 	 1.41863 	 50205.35774 	 4.25590 	 4.26360 	 37.21173 	 
52 	 0.00 	 0.73 	  0.49967 	 1.42998 	 50566.22490 	 4.28994 	 4.29756 	 37.25321 	 
53 	 0.00 	 0.74 	  0.49967 	 1.44147 	 50924.62084 	 4.32440 	 4.33192 	 37.29502 	 
54 	 0.00 	 0.75 	  0.49967 	 1.45309 	 51280.53299 	 4.35928 	 4.36670 	 37.33716 	 
55 	 0.00 	 0.72 	  0.49967 	 1.46486 	 51633.94903 	 4.39458 	 4.40189 	 37.37962 	 
56 	 0.00 	 0.74 	  0.49967 	 1.47677 	 51984.85691 	 4.43030 	 4.43751 	 37.42240 	 
57 	 0.00 	 0.73 	  0.49967 	 1.48882 	 52333.24488 	 4.46645 	 4.47356 	 37.46549 	 
58 	 0.00 	 0.72 	  0.49967 	 1.50101 	 52679.10143 	 4.50303 	 4.51004 	 37.50887 	 
59 	 0.00 	 0.70 	  0.49967 	 1.51335 	 53022.41534 	 4.54006 	 4.54695 	 37.55253 	 
60 	 0.00 	 0.70 	  0.49967 	 1.52584 	 53363.17567 	 4.57752 	 4.58430 	 37.59648 	 
61 	 0.00 	 0.77 	  0.49967 	 1.53848 	 53701.37174 	 4.61543 	 4.62210 	 37.64071 	 
62 	 0.00 	 0.67 	  0.49967 	 1.55126 	 54036.99313 	 4.65379 	 4.66034 	 37.68520 	 
63 	 0.00 	 0.77 	  0.49967 	 1.56420 	 54370.02972 	 4.69261 	 4.69904 	 37.72995 	 
64 	 0.00 	 0.77 	  0.49967 	 1.57730 	 54700.47162 	 4.73189 	 4.73819 	 37.77494 	 
65 	 0.00 	 0.79 	  0.49967 	 1.59054 	 55028.30922 	 4.77163 	 4.77780 	 37.82016 	 
66 	 0.00 	 0.78 	  0.49967 	 1.60395 	 55353.53318 	 4.81184 	 4.81788 	 37.86560 	 
67 	 0.00 	 0.78 	  0.49967 	 1.61751 	 55676.13442 	 4.85253 	 4.85843 	 37.91126 	 
68 	 0.00 	 0.76 	  0.49967 	 1.63123 	 55996.10411 	 4.89370 	 4.89945 	 37.95712 	 
69 	 0.00 	 0.80 	  0.49967 	 1.64512 	 56313.43369 	 4.93535 	 4.94096 	 38.00318 	 
70 	 0.00 	 0.77 	  0.49967 	 1.65916 	 56628.11485 	 4.97749 	 4.98295 	 38.04942 	 
71 	 0.00 	 0.86 	  0.49967 	 1.67337 	 56940.13954 	 5.02012 	 5.02543 	 38.09585 	 
72 	 0.00 	 0.78 	  0.49967 	 1.68775 	 57249.49997 	 5.06325 	 5.06840 	 38.14244 	 
73 	 0.00 	 0.69 	  0.49967 	 1.70229 	 57556.18859 	 5.10688 	 5.11187 	 38.18919 	 
74 	 0.00 	 0.76 	  0.49967 	 1.71701 	 57860.19809 	 5.15103 	 5.15585 	 38.23609 	 
75 	 0.00 	 0.76 	  0.49967 	 1.73189 	 58161.52145 	 5.19568 	 5.20034 	 38.28312 	 
76 	 0.00 	 0.71 	  0.49967 	 1.74695 	 58460.15184 	 5.24085 	 5.24535 	 38.33028 	 
77 	 0.00 	 0.71 	  0.49967 	 1.76218 	 58756.08272 	 5.28655 	 5.29087 	 38.37755 	 
78 	 0.00 	 0.70 	  0.49967 	 1.77759 	 59049.30777 	 5.33277 	 5.33692 	 38.42491 	 
79 	 0.00 	 0.69 	  0.49967 	 1.79318 	 59339.82090 	 5.37953 	 5.38350 	 38.47237 	 
80 	 0.00 	 0.68 	  0.49967 	 1.80894 	 59627.61347 	 5.42683 	 5.43061 	 38.51989 	 
81 	 0.00 	 0.89 	  0.49967 	 1.82489 	 59912.67840 	 5.47467 	 5.47826 	 38.56748 	 
82 	 0.00 	 0.73 	  0.49967 	 1.84102 	 60195.01039 	 5.52306 	 5.52646 	 38.61510 	 
83 	 0.00 	 0.74 	  0.49967 	 1.85734 	 60474.60438 	 5.57201 	 5.57521 	 38.66276 	 
84 	 0.00 	 0.77 	  0.49967 	 1.87384 	 60751.45557 	 5.62152 	 5.62452 	 38.71043 	 
85 	 0.00 	 0.70 	  0.49967 	 1.89053 	 61025.55934 	 5.67159 	 5.67438 	 38.75810 	 
86 	 0.00 	 0.80 	  0.49967 	 1.90741 	 61296.91132 	 5.72224 	 5.72482 	 38.80576 	 
87 	 0.00 	 0.71 	  0.49967 	 1.92449 	 61565.50734 	 5.77346 	 5.77583 	 38.85338 	 
88 	 0.00 	 0.77 	  0.49967 	 1.94176 	 61831.34348 	 5.82527 	 5.82741 	 38.90095 	 
89 	 0.00 	 0.76 	  0.49967 	 1.95922 	 62094.41604 	 5.87767 	 5.87959 	 38.94846 	 
90 	 0.00 	 0.73 	  0.49967 	 1.97689 	 62354.72150 	 5.93066 	 5.93235 	 38.99589 	 
91 	 0.00 	 0.85 	  0.49967 	 1.99475 	 62612.25659 	 5.98426 	 5.98571 	 39.04321 	 
